Worst Feature Name;Count
fourier_entropy__bins_5;193
fft_coefficient__attr_"real"__coeff_55;193
fft_coefficient__attr_"real"__coeff_29;185
fft_coefficient__attr_"real"__coeff_60;178
agg_autocorrelation__f_agg_"var"__maxlag_40;164
fft_coefficient__attr_"abs"__coeff_57;142
fft_coefficient__attr_"abs"__coeff_41;133
fft_coefficient__attr_"real"__coeff_47;123
fft_coefficient__attr_"imag"__coeff_44;118
agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var";114
fft_coefficient__attr_"real"__coeff_77;105
fft_coefficient__attr_"angle"__coeff_14;100
fft_coefficient__attr_"real"__coeff_28;98
fft_coefficient__attr_"angle"__coeff_60;96
fft_coefficient__attr_"abs"__coeff_52;90
fft_coefficient__attr_"angle"__coeff_28;83
fft_coefficient__attr_"imag"__coeff_19;80
change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6;69
fft_coefficient__attr_"angle"__coeff_70;67
fft_coefficient__attr_"angle"__coeff_50;67